Leaf Node,Latitude Range,Longitude Range
8,"(-90, 19.494220733642578)","(-180, -146.00926971435547)"
9,"(19.494220733642578, 38.61310577392578)","(-180, -146.00926971435547)"
11,"(-90, 38.204010009765625)","(-146.00926971435547, -121.97854614257812)"
12,"(38.204010009765625, 38.61310577392578)","(-146.00926971435547, -121.97854614257812)"
15,"(-90, 34.55225372314453)","(-121.97854614257812, -116.40807723999023)"
16,"(34.55225372314453, 38.61310577392578)","(-121.97854614257812, -116.40807723999023)"
18,"(-90, 33.51532173156738)","(-116.40807723999023, -114.2497444152832)"
19,"(33.51532173156738, 38.61310577392578)","(-116.40807723999023, -114.2497444152832)"
23,"(38.61310577392578, 46.87065124511719)","(-180, -122.17474365234375)"
24,"(46.87065124511719, 49.29811477661133)","(-180, -122.17474365234375)"
26,"(49.29811477661133, 59.66209030151367)","(-180, -134.88976287841797)"
27,"(49.29811477661133, 59.66209030151367)","(-134.88976287841797, -122.17474365234375)"
30,"(38.61310577392578, 40.09819412231445)","(-122.17474365234375, -120.36515045166016)"
31,"(38.61310577392578, 40.09819412231445)","(-120.36515045166016, -114.2497444152832)"
33,"(40.09819412231445, 59.66209030151367)","(-122.17474365234375, -120.76246643066406)"
34,"(40.09819412231445, 59.66209030151367)","(-120.76246643066406, -114.2497444152832)"
38,"(59.66209030151367, 60.0555419921875)","(-180, -141.32574462890625)"
40,"(60.0555419921875, 60.80319595336914)","(-180, -150.14263153076172)"
41,"(60.0555419921875, 60.80319595336914)","(-150.14263153076172, -141.32574462890625)"
44,"(59.66209030151367, 60.77824783325195)","(-141.32574462890625, -133.33019256591797)"
45,"(59.66209030151367, 60.77824783325195)","(-133.33019256591797, -114.2497444152832)"
47,"(60.77824783325195, 60.77877998352051)","(-141.32574462890625, -114.2497444152832)"
48,"(60.77877998352051, 60.80319595336914)","(-141.32574462890625, -114.2497444152832)"
52,"(60.80319595336914, 61.24054718017578)","(-180, -149.7076873779297)"
53,"(60.80319595336914, 61.24054718017578)","(-149.7076873779297, -121.818603515625)"
55,"(61.24054718017578, 90)","(-180, -149.19844818115234)"
56,"(61.24054718017578, 90)","(-149.19844818115234, -121.818603515625)"
59,"(60.80319595336914, 61.86500358581543)","(-121.818603515625, -114.2497444152832)"
60,"(61.86500358581543, 65.11390686035156)","(-121.818603515625, -114.2497444152832)"
61,"(65.11390686035156, 90)","(-121.818603515625, -114.2497444152832)"
67,"(-90, 22.830891609191895)","(-114.2497444152832, -108.10220336914062)"
68,"(22.830891609191895, 23.91254425048828)","(-114.2497444152832, -108.10220336914062)"
70,"(-90, 21.6556339263916)","(-108.10220336914062, -103.69103240966797)"
71,"(21.6556339263916, 23.91254425048828)","(-108.10220336914062, -103.69103240966797)"
74,"(-90, 18.985981941223145)","(-103.69103240966797, -101.59486770629883)"
75,"(-90, 18.985981941223145)","(-101.59486770629883, -98.74539947509766)"
77,"(18.985981941223145, 23.91254425048828)","(-103.69103240966797, -99.17475509643555)"
78,"(18.985981941223145, 23.91254425048828)","(-99.17475509643555, -98.74539947509766)"
82,"(23.91254425048828, 33.933868408203125)","(-114.2497444152832, -111.35808181762695)"
83,"(23.91254425048828, 33.933868408203125)","(-111.35808181762695, -107.38076782226562)"
85,"(23.91254425048828, 25.790525436401367)","(-107.38076782226562, -98.74539947509766)"
86,"(25.790525436401367, 33.933868408203125)","(-107.38076782226562, -98.74539947509766)"
89,"(33.933868408203125, 38.81582069396973)","(-114.2497444152832, -105.30406951904297)"
90,"(38.81582069396973, 49.81925010681152)","(-114.2497444152832, -105.30406951904297)"
92,"(33.933868408203125, 49.81925010681152)","(-105.30406951904297, -103.60558319091797)"
93,"(33.933868408203125, 49.81925010681152)","(-103.60558319091797, -98.74539947509766)"
98,"(49.81925010681152, 50.86586570739746)","(-114.2497444152832, -113.86480331420898)"
99,"(49.81925010681152, 50.86586570739746)","(-113.86480331420898, -113.42577743530273)"
101,"(50.86586570739746, 51.025381088256836)","(-114.2497444152832, -113.42577743530273)"
102,"(51.025381088256836, 51.03189468383789)","(-114.2497444152832, -113.42577743530273)"
105,"(51.03189468383789, 51.19320487976074)","(-114.2497444152832, -114.0414810180664)"
106,"(51.03189468383789, 51.19320487976074)","(-114.0414810180664, -113.42577743530273)"
108,"(51.19320487976074, 90)","(-114.2497444152832, -113.54984664916992)"
109,"(51.19320487976074, 90)","(-113.54984664916992, -113.42577743530273)"
113,"(49.81925010681152, 51.96902084350586)","(-113.42577743530273, -106.66962432861328)"
114,"(51.96902084350586, 52.103973388671875)","(-113.42577743530273, -106.66962432861328)"
116,"(52.103973388671875, 61.686811447143555)","(-113.42577743530273, -106.66962432861328)"
117,"(61.686811447143555, 90)","(-113.42577743530273, -106.66962432861328)"
120,"(49.81925010681152, 50.50145149230957)","(-106.66962432861328, -99.90058517456055)"
121,"(49.81925010681152, 50.50145149230957)","(-99.90058517456055, -98.74539947509766)"
123,"(50.50145149230957, 90)","(-106.66962432861328, -106.56917572021484)"
124,"(50.50145149230957, 90)","(-106.56917572021484, -98.74539947509766)"
131,"(-90, -60.4633903503418)","(-98.74539947509766, -54.80755805969238)"
132,"(-90, -60.4633903503418)","(-54.80755805969238, -26.457131385803223)"
134,"(-60.4633903503418, -38.415584564208984)","(-98.74539947509766, -66.65674591064453)"
135,"(-60.4633903503418, -38.415584564208984)","(-66.65674591064453, -26.457131385803223)"
138,"(-38.415584564208984, -27.843990325927734)","(-98.74539947509766, -69.88494873046875)"
139,"(-38.415584564208984, -27.843990325927734)","(-69.88494873046875, -26.457131385803223)"
141,"(-27.843990325927734, -0.7742288708686829)","(-98.74539947509766, -75.61334609985352)"
142,"(-27.843990325927734, -0.7742288708686829)","(-75.61334609985352, -26.457131385803223)"
146,"(-0.7742288708686829, -0.5230521261692047)","(-98.74539947509766, -90.29325866699219)"
147,"(-0.5230521261692047, 6.791105508804321)","(-98.74539947509766, -90.29325866699219)"
149,"(-0.7742288708686829, -0.45156317949295044)","(-90.29325866699219, -88.25552749633789)"
150,"(-0.45156317949295044, 6.791105508804321)","(-90.29325866699219, -88.25552749633789)"
153,"(-0.7742288708686829, 6.791105508804321)","(-88.25552749633789, -78.66841506958008)"
154,"(-0.7742288708686829, 6.791105508804321)","(-78.66841506958008, -78.07337951660156)"
156,"(-0.7742288708686829, 4.514557600021362)","(-78.07337951660156, -26.457131385803223)"
157,"(4.514557600021362, 6.791105508804321)","(-78.07337951660156, -26.457131385803223)"
162,"(6.791105508804321, 16.581854820251465)","(-98.74539947509766, -96.16933822631836)"
163,"(6.791105508804321, 16.581854820251465)","(-96.16933822631836, -95.1599349975586)"
165,"(6.791105508804321, 16.581854820251465)","(-95.1599349975586, -93.8277702331543)"
166,"(6.791105508804321, 16.581854820251465)","(-93.8277702331543, -92.96091079711914)"
169,"(16.581854820251465, 20.890522003173828)","(-98.74539947509766, -98.03787231445312)"
170,"(20.890522003173828, 24.69841480255127)","(-98.74539947509766, -98.03787231445312)"
172,"(16.581854820251465, 17.76087188720703)","(-98.03787231445312, -92.96091079711914)"
173,"(17.76087188720703, 24.69841480255127)","(-98.03787231445312, -92.96091079711914)"
177,"(6.791105508804321, 21.597814559936523)","(-92.96091079711914, -87.44680786132812)"
178,"(6.791105508804321, 21.597814559936523)","(-87.44680786132812, -83.96471405029297)"
180,"(6.791105508804321, 21.597814559936523)","(-83.96471405029297, -83.72162246704102)"
181,"(6.791105508804321, 21.597814559936523)","(-83.72162246704102, -26.457131385803223)"
184,"(21.597814559936523, 24.56217098236084)","(-92.96091079711914, -87.28227996826172)"
185,"(21.597814559936523, 24.56217098236084)","(-87.28227996826172, -26.457131385803223)"
187,"(24.56217098236084, 24.69841480255127)","(-92.96091079711914, -82.15133285522461)"
188,"(24.56217098236084, 24.69841480255127)","(-82.15133285522461, -26.457131385803223)"
194,"(24.69841480255127, 26.20325756072998)","(-98.74539947509766, -97.17604064941406)"
195,"(26.20325756072998, 29.394197463989258)","(-98.74539947509766, -97.17604064941406)"
197,"(24.69841480255127, 25.437294006347656)","(-97.17604064941406, -82.77507781982422)"
198,"(25.437294006347656, 29.394197463989258)","(-97.17604064941406, -82.77507781982422)"
201,"(29.394197463989258, 34.13657188415527)","(-98.74539947509766, -97.64560317993164)"
202,"(29.394197463989258, 34.13657188415527)","(-97.64560317993164, -95.07681655883789)"
204,"(29.394197463989258, 30.459107398986816)","(-95.07681655883789, -82.77507781982422)"
205,"(30.459107398986816, 34.13657188415527)","(-95.07681655883789, -82.77507781982422)"
209,"(24.69841480255127, 25.89219379425049)","(-82.77507781982422, -80.5726203918457)"
210,"(25.89219379425049, 29.580571174621582)","(-82.77507781982422, -80.5726203918457)"
212,"(24.69841480255127, 29.580571174621582)","(-80.5726203918457, -79.25210952758789)"
213,"(24.69841480255127, 29.580571174621582)","(-79.25210952758789, -26.457131385803223)"
216,"(29.580571174621582, 29.683061599731445)","(-82.77507781982422, -82.33050918579102)"
217,"(29.683061599731445, 34.13657188415527)","(-82.77507781982422, -82.33050918579102)"
219,"(29.580571174621582, 32.91788291931152)","(-82.33050918579102, -26.457131385803223)"
220,"(32.91788291931152, 34.13657188415527)","(-82.33050918579102, -26.457131385803223)"
225,"(34.13657188415527, 34.807058334350586)","(-98.74539947509766, -89.60701370239258)"
226,"(34.807058334350586, 38.77504920959473)","(-98.74539947509766, -89.60701370239258)"
228,"(34.13657188415527, 35.4094295501709)","(-89.60701370239258, -84.2223129272461)"
229,"(35.4094295501709, 38.77504920959473)","(-89.60701370239258, -84.2223129272461)"
232,"(34.13657188415527, 38.77504920959473)","(-84.2223129272461, -81.68807601928711)"
233,"(34.13657188415527, 38.77504920959473)","(-81.68807601928711, -79.17662048339844)"
235,"(34.13657188415527, 38.77504920959473)","(-79.17662048339844, -75.34147262573242)"
236,"(34.13657188415527, 38.77504920959473)","(-75.34147262573242, -26.457131385803223)"
240,"(38.77504920959473, 40.384958267211914)","(-98.74539947509766, -81.58092880249023)"
241,"(40.384958267211914, 43.88876724243164)","(-98.74539947509766, -81.58092880249023)"
243,"(38.77504920959473, 40.33773422241211)","(-81.58092880249023, -26.457131385803223)"
244,"(40.33773422241211, 43.88876724243164)","(-81.58092880249023, -26.457131385803223)"
247,"(43.88876724243164, 45.55398941040039)","(-98.74539947509766, -90.89969635009766)"
248,"(43.88876724243164, 45.55398941040039)","(-90.89969635009766, -26.457131385803223)"
250,"(45.55398941040039, 90)","(-98.74539947509766, -96.66378402709961)"
251,"(45.55398941040039, 90)","(-96.66378402709961, -26.457131385803223)"
259,"(-90, -34.20128059387207)","(-26.457131385803223, 18.92395782470703)"
260,"(-90, -34.20128059387207)","(18.92395782470703, 54.429758071899414)"
262,"(-34.20128059387207, -34.18764877319336)","(-26.457131385803223, 18.475234031677246)"
263,"(-34.20128059387207, -34.18764877319336)","(18.475234031677246, 54.429758071899414)"
266,"(-34.18764877319336, -30.468448638916016)","(-26.457131385803223, 18.433907508850098)"
267,"(-34.18764877319336, -30.468448638916016)","(18.433907508850098, 18.86502456665039)"
269,"(-34.18764877319336, -30.468448638916016)","(18.86502456665039, 22.416154861450195)"
270,"(-34.18764877319336, -30.468448638916016)","(22.416154861450195, 54.429758071899414)"
274,"(-30.468448638916016, -3.267606258392334)","(-26.457131385803223, 42.005767822265625)"
275,"(-30.468448638916016, -3.267606258392334)","(42.005767822265625, 54.429758071899414)"
277,"(-3.267606258392334, 1.3558663725852966)","(-26.457131385803223, 54.429758071899414)"
278,"(1.3558663725852966, 16.4567289352417)","(-26.457131385803223, 54.429758071899414)"
281,"(16.4567289352417, 31.588847160339355)","(-26.457131385803223, -15.247787475585938)"
282,"(16.4567289352417, 31.588847160339355)","(-15.247787475585938, 54.429758071899414)"
284,"(31.588847160339355, 38.268184661865234)","(-26.457131385803223, 14.137304782867432)"
285,"(31.588847160339355, 38.268184661865234)","(14.137304782867432, 54.429758071899414)"
290,"(-90, -21.3675537109375)","(54.429758071899414, 96.05142593383789)"
291,"(-21.3675537109375, -19.858105659484863)","(54.429758071899414, 96.05142593383789)"
293,"(-19.858105659484863, 33.84891319274902)","(54.429758071899414, 96.05142593383789)"
294,"(33.84891319274902, 38.268184661865234)","(54.429758071899414, 96.05142593383789)"
297,"(-90, -9.006521224975586)","(96.05142593383789, 126.48760604858398)"
298,"(-9.006521224975586, 21.93759250640869)","(96.05142593383789, 126.48760604858398)"
300,"(21.93759250640869, 22.507107734680176)","(96.05142593383789, 126.48760604858398)"
301,"(22.507107734680176, 38.268184661865234)","(96.05142593383789, 126.48760604858398)"
305,"(-90, 26.351545333862305)","(126.48760604858398, 130.6852798461914)"
306,"(26.351545333862305, 35.31622123718262)","(126.48760604858398, 130.6852798461914)"
308,"(35.31622123718262, 37.20052909851074)","(126.48760604858398, 126.58778762817383)"
309,"(35.31622123718262, 37.20052909851074)","(126.58778762817383, 130.6852798461914)"
312,"(37.20052909851074, 37.75937271118164)","(126.48760604858398, 127.45685195922852)"
313,"(37.75937271118164, 38.268184661865234)","(126.48760604858398, 127.45685195922852)"
315,"(37.20052909851074, 38.268184661865234)","(127.45685195922852, 128.1473388671875)"
316,"(37.20052909851074, 38.268184661865234)","(128.1473388671875, 130.6852798461914)"
322,"(-90, -32.46274948120117)","(130.6852798461914, 138.11260986328125)"
323,"(-90, -32.46274948120117)","(138.11260986328125, 139.03292846679688)"
325,"(-90, -32.46274948120117)","(139.03292846679688, 142.33482360839844)"
326,"(-90, -32.46274948120117)","(142.33482360839844, 143.29104614257812)"
329,"(-90, -32.46274948120117)","(143.29104614257812, 144.26673889160156)"
330,"(-90, -32.46274948120117)","(144.26673889160156, 144.27171325683594)"
332,"(-90, -32.46274948120117)","(144.27171325683594, 150.4645767211914)"
333,"(-90, -32.46274948120117)","(150.4645767211914, 167.06167602539062)"
337,"(-32.46274948120117, -21.49977970123291)","(130.6852798461914, 151.5924835205078)"
338,"(-21.49977970123291, 26.19636631011963)","(130.6852798461914, 151.5924835205078)"
340,"(-32.46274948120117, -28.188185691833496)","(151.5924835205078, 167.06167602539062)"
341,"(-28.188185691833496, 26.19636631011963)","(151.5924835205078, 167.06167602539062)"
344,"(26.19636631011963, 35.600975036621094)","(130.6852798461914, 139.4081802368164)"
345,"(26.19636631011963, 35.600975036621094)","(139.4081802368164, 167.06167602539062)"
347,"(35.600975036621094, 35.6378116607666)","(130.6852798461914, 167.06167602539062)"
348,"(35.6378116607666, 38.268184661865234)","(130.6852798461914, 167.06167602539062)"
352,"(-90, -52.40788269042969)","(167.06167602539062, 180)"
354,"(-52.40788269042969, -51.08694839477539)","(167.06167602539062, 180)"
355,"(-51.08694839477539, -48.69073295593262)","(167.06167602539062, 180)"
358,"(-48.69073295593262, -45.437326431274414)","(167.06167602539062, 172.68868255615234)"
359,"(-45.437326431274414, -37.67545509338379)","(167.06167602539062, 172.68868255615234)"
361,"(-48.69073295593262, -39.160648345947266)","(172.68868255615234, 180)"
362,"(-39.160648345947266, -37.67545509338379)","(172.68868255615234, 180)"
366,"(-37.67545509338379, -36.954185485839844)","(167.06167602539062, 175.70378875732422)"
367,"(-37.67545509338379, -36.954185485839844)","(175.70378875732422, 180)"
369,"(-36.954185485839844, -31.77621841430664)","(167.06167602539062, 174.72877502441406)"
370,"(-36.954185485839844, -31.77621841430664)","(174.72877502441406, 180)"
373,"(-31.77621841430664, -17.542000770568848)","(167.06167602539062, 180)"
374,"(-17.542000770568848, -3.88497257232666)","(167.06167602539062, 180)"
375,"(-3.88497257232666, 38.268184661865234)","(167.06167602539062, 180)"
382,"(38.268184661865234, 43.20462608337402)","(-26.457131385803223, -6.519190788269043)"
383,"(43.20462608337402, 46.778310775756836)","(-26.457131385803223, -6.519190788269043)"
385,"(38.268184661865234, 46.778310775756836)","(-6.519190788269043, -0.11546183377504349)"
386,"(38.268184661865234, 46.778310775756836)","(-0.11546183377504349, 6.006152868270874)"
389,"(38.268184661865234, 46.137718200683594)","(6.006152868270874, 7.182048797607422)"
390,"(46.137718200683594, 46.778310775756836)","(6.006152868270874, 7.182048797607422)"
392,"(38.268184661865234, 46.778310775756836)","(7.182048797607422, 7.361892223358154)"
393,"(38.268184661865234, 46.778310775756836)","(7.361892223358154, 15.011570453643799)"
397,"(38.268184661865234, 39.60691452026367)","(15.011570453643799, 24.693077087402344)"
398,"(39.60691452026367, 39.66097450256348)","(15.011570453643799, 24.693077087402344)"
400,"(39.66097450256348, 40.32520294189453)","(15.011570453643799, 23.139896392822266)"
401,"(39.66097450256348, 40.32520294189453)","(23.139896392822266, 24.693077087402344)"
404,"(40.32520294189453, 40.67035675048828)","(15.011570453643799, 23.013988494873047)"
405,"(40.32520294189453, 40.67035675048828)","(23.013988494873047, 24.693077087402344)"
407,"(40.67035675048828, 45.31870460510254)","(15.011570453643799, 24.693077087402344)"
408,"(45.31870460510254, 46.778310775756836)","(15.011570453643799, 24.693077087402344)"
413,"(46.778310775756836, 52.21586990356445)","(-26.457131385803223, -1.3443446159362793)"
414,"(46.778310775756836, 52.21586990356445)","(-1.3443446159362793, -1.3280909657478333)"
416,"(52.21586990356445, 56.594709396362305)","(-26.457131385803223, -1.3280909657478333)"
417,"(56.594709396362305, 90)","(-26.457131385803223, -1.3280909657478333)"
420,"(46.778310775756836, 51.011077880859375)","(-1.3280909657478333, 13.420084476470947)"
421,"(51.011077880859375, 54.39936065673828)","(-1.3280909657478333, 13.420084476470947)"
423,"(54.39936065673828, 59.828433990478516)","(-1.3280909657478333, 13.420084476470947)"
424,"(59.828433990478516, 90)","(-1.3280909657478333, 13.420084476470947)"
428,"(46.778310775756836, 48.33453178405762)","(13.420084476470947, 16.24789810180664)"
429,"(46.778310775756836, 48.33453178405762)","(16.24789810180664, 24.693077087402344)"
431,"(48.33453178405762, 48.961151123046875)","(13.420084476470947, 16.700758934020996)"
432,"(48.33453178405762, 48.961151123046875)","(16.700758934020996, 24.693077087402344)"
435,"(48.961151123046875, 60.1003475189209)","(13.420084476470947, 18.21684741973877)"
436,"(48.961151123046875, 60.1003475189209)","(18.21684741973877, 24.693077087402344)"
438,"(60.1003475189209, 63.957773208618164)","(13.420084476470947, 24.693077087402344)"
439,"(63.957773208618164, 90)","(13.420084476470947, 24.693077087402344)"
445,"(38.268184661865234, 46.73546600341797)","(24.693077087402344, 28.451899528503418)"
446,"(38.268184661865234, 46.73546600341797)","(28.451899528503418, 31.954071044921875)"
448,"(46.73546600341797, 50.0239315032959)","(24.693077087402344, 25.812984466552734)"
449,"(46.73546600341797, 50.0239315032959)","(25.812984466552734, 31.954071044921875)"
452,"(50.0239315032959, 50.38629150390625)","(24.693077087402344, 31.274078369140625)"
453,"(50.0239315032959, 50.38629150390625)","(31.274078369140625, 31.954071044921875)"
455,"(50.38629150390625, 50.533212661743164)","(24.693077087402344, 31.954071044921875)"
456,"(50.533212661743164, 50.99823188781738)","(24.693077087402344, 31.954071044921875)"
460,"(38.268184661865234, 43.21310234069824)","(31.954071044921875, 87.99558639526367)"
461,"(43.21310234069824, 45.120513916015625)","(31.954071044921875, 87.99558639526367)"
463,"(45.120513916015625, 48.34120559692383)","(31.954071044921875, 87.99558639526367)"
464,"(48.34120559692383, 50.99823188781738)","(31.954071044921875, 87.99558639526367)"
467,"(38.268184661865234, 50.99823188781738)","(87.99558639526367, 88.3875503540039)"
468,"(38.268184661865234, 50.99823188781738)","(88.3875503540039, 105.87921905517578)"
470,"(38.268184661865234, 50.99823188781738)","(105.87921905517578, 138.28964233398438)"
471,"(38.268184661865234, 50.99823188781738)","(138.28964233398438, 180)"
476,"(50.99823188781738, 52.06986427307129)","(24.693077087402344, 48.653106689453125)"
477,"(52.06986427307129, 61.79668045043945)","(24.693077087402344, 48.653106689453125)"
479,"(50.99823188781738, 57.44487380981445)","(48.653106689453125, 72.58443069458008)"
480,"(57.44487380981445, 61.79668045043945)","(48.653106689453125, 72.58443069458008)"
483,"(61.79668045043945, 66.50589752197266)","(24.693077087402344, 72.58443069458008)"
484,"(66.50589752197266, 70.2673110961914)","(24.693077087402344, 72.58443069458008)"
486,"(70.2673110961914, 70.33696365356445)","(24.693077087402344, 72.58443069458008)"
487,"(70.33696365356445, 90)","(24.693077087402344, 72.58443069458008)"
491,"(50.99823188781738, 54.96918869018555)","(72.58443069458008, 80.0838623046875)"
492,"(54.96918869018555, 90)","(72.58443069458008, 80.0838623046875)"
494,"(50.99823188781738, 90)","(80.0838623046875, 80.88368606567383)"
495,"(50.99823188781738, 90)","(80.88368606567383, 82.60935592651367)"
498,"(50.99823188781738, 90)","(82.60935592651367, 127.26225662231445)"
499,"(50.99823188781738, 90)","(127.26225662231445, 158.71897888183594)"
501,"(50.99823188781738, 90)","(158.71897888183594, 165.11385345458984)"
502,"(50.99823188781738, 90)","(165.11385345458984, 180)"
